hotelName,attractionsNearby,reviewWords,reviewStars,address,latitude,longitude,review,accommodationCapacity,budget,typeOfStay,stayPreference,foodPreference,starRating,facilities,checkInTime,checkOutTime
Venus Residency,"['Doddabetta Peak', 'Botanical Gardens', 'Wax World Museum', 'Rose Garden']",Excellent,5,"82/E1, Ooty Mysore Road, Ooty",11.41429996,76.69860077,"Unforgettable experience, top marks for everything!",1,1262,Family,Girls,Non-Veg,5,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
OYO Home 23508 Elite Stay,"['Doddabetta Peak', 'Thread Garden', 'Ooty Lake', 'Rose Garden', 'Wax World Museum']",Good,3,"980/5, Pineapple Nest, Hollywood Hills, Woodcocks Road Kandal, Ooty",11.41227341,76.69816589,"Good place to stay, met my expectations.",3,1292,Family,Boys,Mixed,3,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Sanjay HOTEL,['Ooty Lake'],Good,3,"Kotagiri Road, Lahan,643002",11.41230488,76.70899963,"Solid choice, though not without its flaws.",3,2225,Couple,Boys,Non-Veg,2,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Hills Cottages,"['Ooty Lake', 'Rose Garden', 'Doddabetta Peak', 'Thread Garden', 'Botanical Gardens', 'Wax World Museum']",Fair,2,"Southwick, 137K/131, Coonoor Road, Ooty, Nilgiris",11.4112196,76.70941162,"Acceptable, but I hope for improvements next time.",4,1568,Family,Mixed,Mixed,3,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Hotel Pinerock Mountain river,"['Wax World Museum', 'Thread Garden', 'Rose Garden', 'Ooty Lake']",Very Good,4,"Hotel Mist Valley, Near wax World, Ooty, Tamilnadu, India Pincode 643001, Ooty",11.41069031,76.69790649,Exceptionally good. A few steps from being perfect.,1,1345,Family,Mixed,Non-Veg,4,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Weston Holiday Inn,"['Thread Garden', 'Rose Garden', 'Botanical Gardens', 'Doddabetta Peak']",Excellent,5,"Near Stephen Church, Ooty (Udhagamandalam)",11.41468239,76.70091248,"Unforgettable experience, top marks for everything!",4,2934,Family,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Rainbow Cottage,"['Ooty Lake', 'Wax World Museum', 'Rose Garden', 'Thread Garden', 'Botanical Gardens', 'Doddabetta Peak']",Excellent,5,"Club Road, Near Stepen Charch, Kandal, Bombay Castle, Ooty",11.41412067,76.70027161,"Exemplary service, accommodations, and atmosphere.",4,1544,Single,Girls,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
OYO 7665 Home Stay Fable Stay,['Botanical Gardens'],Excellent,5,"Plot No. 70-1, Bakiee Road, Near Chandra Hyundai Showroom, Ooty",11.39974213,76.70044708,"Exemplary service, accommodations, and atmosphere.",2,2496,Family,Mixed,Mixed,5,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Hotel Jaysanthi,"['Doddabetta Peak', 'Botanical Gardens']",Excellent,5,"Mysore Road, Kandal, Ooty",11.41390038,76.69789124,"Incredible experience, can't wait to come back!",1,2257,Couple,Mixed,Mixed,5,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Hill Inn Rooms & Cottage,"['Rose Garden', 'Wax World Museum', 'Ooty Lake', 'Thread Garden', 'Doddabetta Peak', 'Botanical Gardens']",Fair,2,"No 70/A kks Illam Chandravilas, Ooty (Udhagamandalam)",11.40889263,76.71016693,"It was okay, but I've definitely had better.",3,2649,Family,Mixed,Non-Veg,2,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Adarsh International Hotel,"['Doddabetta Peak', 'Wax World Museum', 'Thread Garden', 'Rose Garden', 'Ooty Lake']",Fair,2,"183/72, Ettines Road, Near Old Woodlands, Ooty (Udhagamandalam)",11.40430641,76.70375824,Barely satisfactory. It could use some serious work.,3,2135,Couple,Mixed,Non-Veg,3,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Nakshatra,"['Thread Garden', 'Ooty Lake', 'Rose Garden', 'Wax World Museum', 'Botanical Gardens', 'Doddabetta Peak']",Poor,1,"Hill Bunk Club Road, Opp Ooty Club, Ooty (Udhagamandalam)",11.41370964,76.6975708,The worst hotel experience I've had in a long time.,2,1456,Single,Mixed,Non-Veg,1,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
HAPPYSTAY Rooms and Cottages,"['Botanical Gardens', 'Doddabetta Peak', 'Thread Garden', 'Wax World Museum', 'Ooty Lake', 'Rose Garden']",Poor,1,"176 Club Road, Ooty",11.41292381,76.69726563,Not at all what I was expecting. Very poor quality.,2,2235,Family,Boys,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Flagship Ooty Residency,"['Rose Garden', 'Ooty Lake']",Good,3,"190/a 19, Hill Bunk, Club Road Hill Bunk, Ooty",11.4132576,76.697258,"Solid choice, though not without its flaws.",1,2424,Single,Mixed,Non-Veg,3,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
OYO Hotel Jayam Ooty Residency,"['Doddabetta Peak', 'Wax World Museum', 'Ooty Lake', 'Botanical Gardens']",Poor,1,Ooty,11.41317272,76.69721985,"Had a lot of issues, wouldn't recommend.",1,1723,Couple,Boys,Veg Only,1,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Ooty Prakash Residency,"['Doddabetta Peak', 'Ooty Lake', 'Rose Garden']",Fair,2,"Mysuru - Ooty Road, Ooty",11.41314983,76.69713593,"Not too bad, but leaves a lot to be desired.",2,1517,Family,Mixed,Veg Only,3,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Golden Larch Residency,"['Ooty Lake', 'Doddabetta Peak', 'Botanical Gardens', 'Thread Garden', 'Wax World Museum']",Very Good,4,"Number-167/B, Hadfield Road, Opposite Ratan Tata Guest House, St Mary S Hill, Coonoor",11.41162205,76.69723511,"Great experience, with just a few minor issues.",1,1906,Family,Boys,Veg Only,4,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Hotel Lakeview,"['Ooty Lake', 'Doddabetta Peak', 'Botanical Gardens', 'Wax World Museum', 'Thread Garden']",Very Good,4,"West Lake Road, Kandal, Ooty, Tamil Nadu",11.40448761,76.67933655,Highly commendable! They’ve got most things right.,1,2125,Couple,Boys,Non-Veg,4,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Avalon Stays Ooty,"['Thread Garden', 'Rose Garden', 'Botanical Gardens', 'Wax World Museum', 'Doddabetta Peak', 'Ooty Lake']",Good,3,"158 Westbury Road, Ooty, Tamil Nadu 643001",11.41318989,76.69595337,"A pleasant stay, but I've experienced better.",2,1721,Single,Girls,Veg Only,3,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
King's Cliff,['Rose Garden'],Very Good,4,"Havelock Rd, Ooty, Tamil Nadu 643001",11.41996765,76.69824982,"Surprisingly good, with excellent service and facilities.",1,2430,Family,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Yantra Leisures,"['Doddabetta Peak', 'Botanical Gardens']",Poor,1,"105, Snowdown Road, Ooty, Nilgiris",11.42113495,76.70454407,"So bad, I checked out earlier than planned.",4,1022,Single,Girls,Non-Veg,1,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Anika Palace by Pepe Inn Hotel,"['Ooty Lake', 'Botanical Gardens', 'Thread Garden']",Very Good,4,"Davisdale H-2/5A1 of Ward H-2, Ooty",11.40940762,76.69558716,Almost perfect. It's hard to find any fault.,3,1343,Single,Mixed,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Dynasty Inn,"['Doddabetta Peak', 'Rose Garden', 'Wax World Museum', 'Thread Garden']",Fair,2,"Near Hill Bunk, Gudalur Road, Ooty (Udhagamandalam)",11.41338158,76.69695282,"Just alright. Not great, but not terrible either.",4,2241,Single,Mixed,Non-Veg,2,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Hotel Willow Hill,"['Thread Garden', 'Doddabetta Peak', 'Ooty Lake']",Very Good,4,"No 58/1 Havelock Road Landmark Of Collecter Office, Ooty",11.41895676,76.69911194,Impressive! Far better than I had anticipated.,3,2057,Family,Boys,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Club Mahindra Danish Villa,"['Thread Garden', 'Ooty Lake', 'Wax World Museum', 'Botanical Gardens', 'Rose Garden', 'Doddabetta Peak']",Excellent,5,Ooty,11.4184351,76.7035675,Beyond excellent. This place sets the standard.,3,1974,Single,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Havelock Leisure - A Boutique Villa,"['Rose Garden', 'Thread Garden', 'Ooty Lake', 'Doddabetta Peak']",Excellent,5,"Havelock Road Pudumund, Ooty",11.41920471,76.69758606,The epitome of luxury and service. Simply the best.,3,1371,Single,Boys,Mixed,5,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Westberry Inn,"['Botanical Gardens', 'Ooty Lake', 'Wax World Museum']",Very Good,4,"18 Snowdon Road, Ooty (Udhagamandalam)",11.41978264,76.70355988,Highly commendable! They’ve got most things right.,2,1404,Single,Mixed,Mixed,4,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Hotel Gem Park Ooty,"['Doddabetta Peak', 'Botanical Gardens', 'Wax World Museum']",Good,3,"Sheddon Road, Opp Mountain View Hotel, Pudumund, Ooty",11.42078781,76.70417786,"Satisfactory stay, but there’s potential for more.",3,1724,Single,Boys,Non-Veg,3,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
The Monarch Hotel,"['Ooty Lake', 'Botanical Gardens', 'Thread Garden', 'Wax World Museum', 'Rose Garden']",Excellent,5,"Off Havelock Road, Church Hill, Ooty (Udhagamandalam)",11.42080975,76.69915771,"Exemplary service, accommodations, and atmosphere.",3,2001,Family,Boys,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Lymond House Ooty,"['Botanical Gardens', 'Rose Garden', 'Wax World Museum', 'Ooty Lake']",Very Good,4,"78 Sylks Road, Ooty (Udhagamandalam)",11.41495895,76.69478607,"Surprisingly good, with excellent service and facilities.",2,2654,Couple,Mixed,Non-Veg,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
The Regent,"['Doddabetta Peak', 'Botanical Gardens', 'Rose Garden', 'Thread Garden', 'Wax World Museum', 'Ooty Lake']",Poor,1,"Ooty Road, Tamilnadu, India, pin Code:641305, Ooty",11.41345978,76.69400787,Left much to be desired. I wouldn't stay here again.,3,1057,Couple,Mixed,Non-Veg,1,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
OYO 13129 Key 2 Heaven,"['Thread Garden', 'Wax World Museum', 'Rose Garden', 'Botanical Gardens', 'Ooty Lake']",Good,3,"2, Wood Cock Road, Kandal, Ooty",11.40940762,76.69558716,"Good place to stay, met my expectations.",1,2314,Single,Girls,Veg Only,2,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Haveli Athiti Bhavan,"['Thread Garden', 'Ooty Lake']",Good,3,"Plot No. 982 B1, Hadfield Road, Inside Shree Abu Babaji Charitable Mission, West Lake, Ooty (Udhagamandalam)",11.41170025,76.69463348,"Quite good, a few areas could use improvement.",3,1012,Single,Mixed,Mixed,2,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
"Ooty - Elk Hill, A Sterling Holidays Resort","['Botanical Gardens', 'Thread Garden', 'Ooty Lake', 'Rose Garden']",Poor,1,"No. 25 Ramakrishna Mutt Road, R. K. Puram, Elk Hill, Ooty, Tamil Nadu 643001",11.39653015,76.70162964,Left much to be desired. I wouldn't stay here again.,1,2661,Family,Mixed,Veg Only,1,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Hotel SB Residency,"['Ooty Lake', 'Thread Garden', 'Botanical Gardens', 'Wax World Museum', 'Doddabetta Peak']",Excellent,5,"Beyond Shiva Shakti Hospital, Ooty 643001",11.40111065,76.70280457,Exceeded every expectation. The pinnacle of hospitality.,3,1663,Family,Girls,Non-Veg,4,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Mango Hill Central Ooty,"['Rose Garden', 'Botanical Gardens', 'Wax World Museum', 'Thread Garden', 'Ooty Lake']",Very Good,4,"Mango Hill Central Ooty 137F100, Blue Mountian School Road, Udhagamandalam, Tamil Nadu 643001, Ooty 643001",11.40168095,76.7036438,Almost perfect. It's hard to find any fault.,2,1365,Single,Girls,Mixed,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Rosepark Residency,"['Doddabetta Peak', 'Thread Garden', 'Ooty Lake', 'Botanical Gardens']",Fair,2,"No 123 Q Rose Garden, Vijayanagaram Palace Road, Ooty, 123, Nilgiris",11.40567589,76.70976257,"Just alright. Not great, but not terrible either.",3,2402,Couple,Boys,Mixed,2,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Ponmari Villa,"['Thread Garden', 'Rose Garden']",Excellent,5,"Davis Dale No.139, Ooty (Udhagamandalam)",11.40044022,76.70667267,"Exemplary service, accommodations, and atmosphere.",1,2272,Couple,Girls,Non-Veg,4,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
British Cliff Club Resort,"['Rose Garden', 'Botanical Gardens', 'Ooty Lake', 'Doddabetta Peak', 'Thread Garden', 'Wax World Museum']",Poor,1,"Uphill of Race Course, Mount Pleasant Road, Ooty",11.4000721,76.7035141,Left much to be desired. I wouldn't stay here again.,4,1462,Couple,Boys,Veg Only,1,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
rahaman home stay,"['Wax World Museum', 'Rose Garden', 'Thread Garden', 'Doddabetta Peak', 'Botanical Gardens', 'Ooty Lake']",Poor,1,"blue mountain school road opposite shiva shakti hospital, 643001 อูตี, อินเดีย",11.39905071,76.7057724,"So bad, I checked out earlier than planned.",3,2299,Couple,Mixed,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Ganga's Sri Balaji Cottage,['Ooty Lake'],Good,3,"Conoor Road, Ooty (Udhagamandalam)",11.40116024,76.70509338,"Good, but could be better with a few tweaks.",3,1920,Couple,Boys,Non-Veg,3,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
jack N jill holidays inn,"['Rose Garden', 'Wax World Museum', 'Botanical Gardens', 'Doddabetta Peak', 'Ooty Lake', 'Thread Garden']",Poor,1,"243, Davisdale Road, Ooty (Udagamandalam)",11.4035902,76.70565033,The worst hotel experience I've had in a long time.,4,2725,Family,Boys,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Anmols Impex cottage,['Doddabetta Peak'],Fair,2,"134/22, Elk Hill Road, Ooty",11.40389442,76.70626068,It was just okay. Nothing to write home about.,3,1321,Single,Mixed,Veg Only,2,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Royal Star Residency,"['Doddabetta Peak', 'Ooty Lake']",Fair,2,"D.128 Davisdale Elhill Road, Near Rose Garden, Ooty",11.4024601,76.70490265,"An average experience, was expecting something better.",2,2184,Family,Boys,Veg Only,3,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Star pink cottages,"['Wax World Museum', 'Botanical Gardens', 'Thread Garden']",Poor,1,"Cottage no 55, Star Pink Cottage, Pudhunagar Boathouse Road, Near Cilf School, Ooty",11.40402985,76.70189667,Terrible experience overall. Avoid at all costs.,2,1235,Family,Boys,Veg Only,1,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Flagship Al Haramain Home Stay,"['Thread Garden', 'Wax World Museum', 'Ooty Lake', 'Botanical Gardens', 'Doddabetta Peak', 'Rose Garden']",Very Good,4,"Bakiee Road, Opposite To Mango Hill Hotel, Ooty (Udhagamandalam)",11.40169144,76.70375061,Exceptionally good. A few steps from being perfect.,3,1035,Single,Mixed,Mixed,4,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Mango Hill Central Ooty,"['Thread Garden', 'Ooty Lake', 'Wax World Museum', 'Rose Garden', 'Doddabetta Peak', 'Botanical Gardens']",Good,3,"137f100 Blue Mountain School Road, Ooty (Udhagamandalam)",11.40166378,76.7036438,"Overall a good experience, with minor issues.",4,2273,Family,Boys,Mixed,3,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
OYO Home 30208 Enticing Rose Garden,"['Ooty Lake', 'Rose Garden', 'Botanical Gardens']",Excellent,5,"123P, Near Rose Garden, Behind District Industrial Centre, Bombay Castle, Ooty",11.40480614,76.71055603,The epitome of luxury and service. Simply the best.,1,2660,Family,Mixed,Mixed,4,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Nahar's Residency Hotel,"['Rose Garden', 'Thread Garden', 'Wax World Museum']",Fair,2,"100 Nahar's Residency Hotel Main Bazaar Road, Ooty (Udhagamandalam)",11.40454292,76.70070648,It was just okay. Nothing to write home about.,2,2871,Family,Mixed,Veg Only,3,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
ItzMe Hospitality,"['Wax World Museum', 'Botanical Gardens', 'Thread Garden', 'Doddabetta Peak', 'Ooty Lake', 'Rose Garden']",Excellent,5,"87 Main Bazaar, Ooty, Tamil Nadu",11.40448475,76.70059204,"Absolutely fantastic, exceeded all my expectations!",2,2680,Couple,Girls,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Mananyaa Cottage,"['Ooty Lake', 'Wax World Museum', 'Rose Garden']",Very Good,4,"Davisdale Road, Bombay Castle, Ooty",11.4034481,76.70575714,"Very good overall, with a few standout aspects.",1,2435,Single,Boys,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
BOB's Haven Bungalow,"['Botanical Gardens', 'Ooty Lake', 'Wax World Museum', 'Doddabetta Peak', 'Rose Garden']",Fair,2,"Davis Dale, Ooty",11.40083122,76.70743561,"An average experience, was expecting something better.",2,1145,Single,Mixed,Non-Veg,2,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
FabHotel De Santosh Residency,['Thread Garden'],Excellent,5,"137/1, Ettiness Road, Davisdale, Near Mount Pleasant Road, Ooty (Udhagamandalam)",11.40111923,76.70209503,Beyond excellent. This place sets the standard.,4,2169,Couple,Mixed,Veg Only,5,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Tuccil Luxury Home Stay,"['Thread Garden', 'Botanical Gardens', 'Rose Garden']",Poor,1,"Vijayanagaram, Palace Road, Elk Hill, Tamil Nadu 643001, India, Ooty (Udhagamandalam)",11.40439987,76.71161652,Left much to be desired. I wouldn't stay here again.,3,1086,Couple,Girls,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Home Stay Fable Stay,"['Thread Garden', 'Wax World Museum']",Poor,1,"70-1, Bakiee Road, Near Chandra Hyundai Showroom, Ooty",11.40130901,76.7024765,"Had a lot of issues, wouldn't recommend.",3,1126,Single,Boys,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
The Pleasant Days,"['Ooty Lake', 'Rose Garden', 'Thread Garden', 'Wax World Museum']",Very Good,4,"Elk Hill Rd, Davisdale, Ooty (Udhagamandalam)",11.40023994,76.70724487,Exceptionally good. A few steps from being perfect.,2,1697,Couple,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Hill Inn,"['Wax World Museum', 'Botanical Gardens']",Fair,2,"Shoreham Palace Road, Off Ettines Road, Ooty (Udhagamandalam)",11.40410042,76.70366669,"An average experience, was expecting something better.",4,2510,Family,Girls,Mixed,3,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Collection O 81046 G Silver Srj Thaneesh Residency,['Ooty Lake'],Good,3,"124/1b Vijayanagar Garden, Srj Junction, Ooty",11.40387535,76.71190643,"Good, but could be better with a few tweaks.",1,2344,Single,Girls,Non-Veg,3,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
OYO Home Luxe 24790 Scenic View Stay,"['Ooty Lake', 'Botanical Gardens']",Good,3,"124/1B, Vijay Nagar Garden, SRJ Junction, Bombay Castel, Ooty",11.40387535,76.71190643,"Quite good, a few areas could use improvement.",1,2566,Family,Girls,Non-Veg,2,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Ooty White House,['Wax World Museum'],Very Good,4,"169/a2 Ooty White House Homestay Mount Pleasant Road, Ooty (Udhagamandalam)",11.40190029,76.70539093,Impressive! Far better than I had anticipated.,2,1377,Family,Boys,Veg Only,5,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Smile Stone Individual Cottage,"['Botanical Gardens', 'Wax World Museum']",Excellent,5,121/c8 Mount Pleasant Road,11.39931965,76.70362091,"Unforgettable experience, top marks for everything!",1,1309,Couple,Girls,Mixed,4,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Venus Cottages,"['Rose Garden', 'Thread Garden', 'Doddabetta Peak']",Excellent,5,"96, Hospital Road, Adjacent to Govt. Hospital, Ooty (Udhagamandalam)",11.40666008,76.70028687,"Perfect in every way, highly recommend!",1,1159,Single,Girls,Non-Veg,4,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
"Club Mahindra Derby Green, Ooty","['Botanical Gardens', 'Wax World Museum']",Very Good,4,"29 - 49 Baikey Road, Ooty",11.40167618,76.697258,"Very good overall, with a few standout aspects.",1,2117,Family,Mixed,Mixed,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Sanjay,"['Botanical Gardens', 'Rose Garden']",Good,3,"Charring Cross, Kotagiri Road, Bombay Castle, Coonoor",11.41286182,76.70874786,"Enjoyed my stay, though there's room for improvement.",4,2988,Couple,Mixed,Mixed,3,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Collection O 14241 The Greenery - Holiday Inn,"['Ooty Lake', 'Wax World Museum']",Poor,1,"12, Udagamandalm, Ooty",11.40770912,76.71323395,Quite unsatisfactory. Needs a lot of improvement.,3,2134,Couple,Boys,Mixed,1,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Hidden Valley,"['Wax World Museum', 'Ooty Lake', 'Doddabetta Peak', 'Rose Garden', 'Botanical Gardens', 'Thread Garden']",Very Good,4,"Connoor Road, ऊटी (उदगमंडलम)",11.40824032,76.71354675,Very satisfied with my stay. Exceeded expectations.,3,2258,Single,Girls,Veg Only,4,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
"Ooty - Fern Hill, A Sterling Holidays Resort","['Rose Garden', 'Ooty Lake', 'Botanical Gardens', 'Doddabetta Peak']",Excellent,5,"73, Kundah House Road, Fern Hill, Ooty, Tamil Nadu 643004",11.3905983,76.69865417,"Exemplary service, accommodations, and atmosphere.",3,1205,Family,Boys,Mixed,4,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
FabHotel Orchid Inn Hotel in Coonoor Rd,"['Ooty Lake', 'Botanical Gardens', 'Thread Garden']",Good,3,"4/924, 4/925, Funcity, Ooty, Tamil Nadu 643001",11.39833069,76.72077942,"Solid choice, though not without its flaws.",1,2963,Family,Girls,Mixed,3,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
The Byke Sunshine Grand,"['Ooty Lake', 'Doddabetta Peak', 'Thread Garden', 'Botanical Gardens', 'Wax World Museum', 'Rose Garden']",Fair,2,"Coonoor Road, Ooty, Tamil Nadu 643001",11.40639496,76.71542358,"An average experience, was expecting something better.",3,2527,Couple,Boys,Mixed,2,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Hotel Orchid Inn,"['Thread Garden', 'Botanical Gardens', 'Wax World Museum', 'Ooty Lake']",Very Good,4,"4C, Coonoor Road, Southwick, Bombay Castle, Near Chering Cross, Coonoor, Tamil Nadu 643001",11.40316963,76.71457672,"Great experience, with just a few minor issues.",1,2944,Couple,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Ooty Dormitories,['Ooty Lake'],Fair,2,"Zero Cross Road 1, Ooty (Udhagamandalam), Tamil Nadu 643002",11.40342617,76.71464539,"Acceptable, but I hope for improvements next time.",4,1419,Family,Boys,Veg Only,3,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Fortune Retreats,['Wax World Museum'],Good,3,"Tiger Hill Road Belmont Terrace, Ooty (Udhagamandalam), Tamil Nadu 643001",11.40323925,76.72238922,"Good place to stay, met my expectations.",1,2983,Family,Girls,Non-Veg,3,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
OYO Flagship 44245 Hotel Rainforest Thalayathimund,"['Thread Garden', 'Botanical Gardens', 'Rose Garden', 'Wax World Museum', 'Doddabetta Peak']",Poor,1,"156, No. 156-C, Ooty to Coonoor Main Road, Ooty, The Nilgiris, Ooty",11.40261269,76.71576691,Really disappointed with my stay. Expected much more.,4,1095,Single,Mixed,Mixed,1,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Windsor Heights,['Ooty Lake'],Excellent,5,"No 392, Windsor Court, Elk Hill, Hobart, Hobart Road",11.39369106,76.71018982,"Unforgettable experience, top marks for everything!",3,2955,Couple,Boys,Mixed,4,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
White House1,"['Botanical Gardens', 'Rose Garden', 'Ooty Lake', 'Doddabetta Peak', 'Thread Garden', 'Wax World Museum']",Fair,2,"167 Mount Pleasant Road, Ooty (Udhagamandalam)",11.39830971,76.70367432,"Acceptable, but I hope for improvements next time.",1,2845,Family,Mixed,Veg Only,3,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
BOB Leisure's,"['Wax World Museum', 'Rose Garden', 'Thread Garden', 'Botanical Gardens']",Very Good,4,"169a Mount Pleasant Road, Ooty (Udhagamandalam)",11.3982687,76.70371246,Impressive! Far better than I had anticipated.,4,2599,Single,Mixed,Mixed,5,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Treebo Trend Windsor Heights,['Botanical Gardens'],Good,3,"No 392, Hobert Road, Ooty (Udhagamandalam)",11.39325809,76.71237183,"Solid choice, though not without its flaws.",4,2570,Family,Boys,Veg Only,2,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Aurora Light Residency,"['Rose Garden', 'Doddabetta Peak', 'Thread Garden', 'Botanical Gardens', 'Wax World Museum']",Excellent,5,"Southwick Coonoor Road, Ooty (Udhagamandalam)",11.4023571,76.71336365,"Absolutely fantastic, exceeded all my expectations!",2,2215,Family,Mixed,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
OYO Heaven Holidays,['Botanical Gardens'],Very Good,4,"1, 3rd Street, Heaven Holidays, Woodcock Road Near Boat House, Ooty (Udhagamandalam), Tamil Nadu 643001",11.40888119,76.68659973,Exceptionally good. A few steps from being perfect.,4,1053,Single,Boys,Veg Only,4,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Bouganvilla,"['Thread Garden', 'Rose Garden']",Excellent,5,"262a Off Silverton Road Fernhill Road, Ooty (Udhagamandalam), Tamil Nadu 643001",11.39858246,76.6950531,Beyond excellent. This place sets the standard.,1,1216,Couple,Boys,Mixed,4,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Treebo Trend Skydale Inn And Suites With Mountain View,['Thread Garden'],Poor,1,"284, Ooty West Lake Road (Thettukkal Road), Mundhwa - Kharadi Rd, Ooty, Tamil Nadu 643004",11.40623856,76.67736816,Really disappointed with my stay. Expected much more.,2,2241,Family,Boys,Veg Only,1,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
